,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,IMPEDANCE,BATTERY,FRAME
87,131528704.0,4287045632.0,4116725760.0,266967040.0,332292096.0,213616640.0,221732864.0,184614912.0,372535296.0,25565184.0,101224448.0,72742912.0,199004160.0,117725184.0,164503552.0,45989888.0,48666624.0,151885824.0,216600576.0,4280563712.0,17.0,106.0,87.0
88,121815040.0,4274886656.0,4105500672.0,260214784.0,323956736.0,205946880.0,209862656.0,174737408.0,369027072.0,15118336.0,92588032.0,74129408.0,193345536.0,109127680.0,156479488.0,38793216.0,40785920.0,170387456.0,204621824.0,4268957696.0,17.0,106.0,88.0
89,119281664.0,4269422592.0,4100268032.0,257071104.0,320002048.0,204926976.0,204234752.0,170328064.0,379119616.0,10985472.0,90959872.0,94625792.0,199176192.0,107493376.0,154613760.0,39942144.0,38600704.0,207261696.0,198694912.0,4264536064.0,17.0,106.0,89.0
90,128968704.0,4281581568.0,4111527936.0,263831552.0,328329216.0,212592640.0,216139776.0,180191232.0,382623744.0,21434368.0,99604480.0,93204480.0,204849152.0,116094976.0,162633728.0,47118336.0,46493696.0,188798976.0,210681856.0,4276140032.0,17.0,106.0,90.0
91,131502080.0,4287039488.0,4116783104.0,266921984.0,332226560.0,213587968.0,221790208.0,184590336.0,372475904.0,25559040.0,101218304.0,72658944.0,199034880.0,117719040.0,164487168.0,45959168.0,48662528.0,151891968.0,216606720.0,4280567808.0,17.0,106.0,91.0
92,121794560.0,4274847744.0,4105504768.0,260102144.0,323840000.0,205873152.0,209874944.0,174686208.0,368939008.0,15067136.0,92530688.0,74072064.0,193341440.0,109080576.0,156424192.0,38754304.0,40736768.0,170395648.0,204574720.0,4268929024.0,17.0,106.0,92.0
93,119271424.0,4269363200.0,4100247552.0,256962560.0,319881216.0,204834816.0,204236800.0,170256384.0,379035648.0,10921984.0,90863616.0,94607360.0,199139328.0,107413504.0,154521600.0,39901184.0,38549504.0,207290368.0,198627328.0,4264486912.0,17.0,106.0,93.0
94,128972800.0,4281511936.0,4111482880.0,263749632.0,328210432.0,212494336.0,216141824.0,180127744.0,382576640.0,21377024.0,99524608.0,93245440.0,204840960.0,116019200.0,162553856.0,47177728.0,46432256.0,188850176.0,210606080.0,4276088832.0,17.0,106.0,94.0
95,131485696.0,4286982144.0,4116713472.0,266864640.0,332120064.0,213495808.0,221792256.0,184530944.0,372453376.0,25505792.0,101142528.0,72734720.0,199034880.0,117645312.0,164413440.0,45996032.0,48605184.0,151930880.0,216514560.0,4280514560.0,17.0,106.0,95.0
96,121804800.0,4274845696.0,4105498624.0,260108288.0,323790848.0,205832192.0,209938432.0,174680064.0,368969728.0,15048704.0,92489728.0,74088448.0,193357824.0,109041664.0,156389376.0,38664192.0,40699904.0,170422272.0,204539904.0,4268902400.0,17.0,106.0,96.0
97,119296000.0,4269412352.0,4100300800.0,256991232.0,319866880.0,204828672.0,204345344.0,170311680.0,379090944.0,10932224.0,90888192.0,94537728.0,199192576.0,107423744.0,154550272.0,39835648.0,38535168.0,207267840.0,198643712.0,4264505344.0,17.0,106.0,97.0
98,129001472.0,4281595904.0,4111527936.0,263794688.0,328230912.0,212537344.0,216291328.0,180217856.0,382625792.0,21409792.0,99567616.0,93093888.0,204902400.0,116066304.0,162598912.0,47075328.0,46456832.0,188839936.0,210657280.0,4276127744.0,17.0,106.0,98.0
